"Class"	"SAL"	"SAL"	"SAL"	"SAL"	"SAL"	"SAL"	"SAL"	"CAQ"	"CAQ"	"CAQ"	"CAQ"	"CAQ"	"CAQ"	"CAQ"
"Samples"	"SC56"	"SC55"	"SC54"	"SC53"	"SC52"	"SC46"	"SC41"	"CC39"	"CC28"	"CC25"	"CC15"	"CC14"	"CC09"	"CC07"
"k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Acanthocystis turfacea chlorella virus 1"	"28.0"	"34.0"	"35.0"	"43.0"	"3.0"	"74.0"	"252.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"2.0"	"0.0"
"k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Acanthocystis turfacea chlorella virus 1"	"0.0"	"969.0"	"644.0"	"476.0"	"564.0"	"412.0"	"88.0"	"79.0"	"678.0"	"510.0"	"1981.0"	"1410.0"	"2.0"	"1129.0"
"k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Acanthocystis turfacea chlorella virus 1"	"0.0"	"229.0"	"172.0"	"42.0"	"72.0"	"0.0"	"0.0"	"140.0"	"56.0"	"81.0"	"375.0"	"258.0"	"0.0"	"308.0"
"k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Acanthocystis turfacea chlorella virus 1"	"27.0"	"111.0"	"129.0"	"88.0"	"131.0"	"39.0"	"6.0"	"21.0"	"15.0"	"9.0"	"13.0"	"25.0"	"248.0"	"10.0"
"k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Acanthocystis turfacea chlorella virus 1"	"3.0"	"1.0"	"0.0"	"0.0"	"1.0"	"62.0"	"61.0"	"90.0"	"213.0"	"85.0"	"88.0"	"176.0"	"26.0"	"68.0"
"k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Acanthocystis turfacea chlorella virus 1"	"0.0"	"321.0"	"81.0"	"55.0"	"79.0"	"32.0"	"15.0"	"0.0"	"0.0"	"99.0"	"133.0"	"289.0"	"19.0"	"138.0"
"k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Acanthocystis turfacea chlorella virus 1"	"0.0"	"451.0"	"370.0"	"110.0"	"144.0"	"0.0"	"0.0"	"142.0"	"32.0"	"93.0"	"518.0"	"277.0"	"1.0"	"459.0"
"k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Acanthocystis turfacea chlorella virus 1"	"45.0"	"64.0"	"55.0"	"68.0"	"11.0"	"112.0"	"555.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"
"k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Acanthocystis turfacea chlorella virus 1"	"58.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"0.0"	"1.0"	"0.0"	"5.0"	"45.0"	"49.0"	"138.0"	"28.0"
"k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Acanthocystis turfacea chlorella virus 1"	"0.0"	"52.0"	"10.0"	"5.0"	"12.0"	"0.0"	"0.0"	"2.0"	"0.0"	"2.0"	"2.0"	"1.0"	"0.0"	"1.0"
"k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Acanthocystis turfacea chlorella virus 1"	"14.0"	"0.0"	"0.0"	"0.0"	"0.0"	"22.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"27.0"	"0.0"
"k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Acanthocystis turfacea chlorella virus 1"	"0.0"	"180.0"	"34.0"	"7.0"	"13.0"	"13.0"	"41.0"	"3.0"	"3.0"	"28.0"	"70.0"	"20.0"	"0.0"	"49.0"
"k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Acanthocystis turfacea chlorella virus 1"	"53.0"	"0.0"	"0.0"	"0.0"	"0.0"	"94.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"104.0"	"0.0"
"k__Viruses|p__unclassified|c__unclassified|o__unclassified|f__Plasmaviridae|g__Plasmavirus|s__Acholeplasma virus L2"	"29.0"	"148.0"	"151.0"	"122.0"	"208.0"	"14.0"	"4.0"	"9.0"	"2.0"	"9.0"	"19.0"	"30.0"	"230.0"	"25.0"
